El Ignacio, 300 
El jugador:  Juan, Gano un total de: 8000 
El jugador:  pedro, Gano un total de: $8000 
El jugador:  lORENA, Gano un total de: $500 
El jugador:  d, Gano un total de: $15000 
El jugador:  fhy, Gano un total de: $$0 
El jugador:  lucia, Gano un total de: $100 
El jugador:  lucia, Gano un total de: $300 
El jugador:  ignacio, Gano un total de: $1000000 
El jugador:  IGNACIO IGNAICO, Gano un total de: $1000000 
El jugador:  Profe mati, Gano un total de: $1000000 
El jugador:  ignacio, Gano un total de: $$0 
